token,known
ISIDRIO,0
ISIDRO,1
ISIORO,0
ISIORSO,0
ISMAEL,1
ISMAR,0
ISOLINA,1
ISRAEL,1
ISTIXA,0
J,0
JABIER,1
JACOBA,1
JACOBO,1
JAIME,1
JAOQUIN,0
JARONIMO,0
JASINTA,1
JASINTO,1
JCAOUIM,0
JCRJE,0
JCRJITO,0
JCSE,0
JCSEFA,0
JENARO,1
JENOBEBA,1
JERARDO,1
JERAROO,0
JERARSO,0
JERBASIO,1
JEREMIA,0
JEREMIAS,1
JERMAN,1
JERONIMA,1
JERONIMO,1
JERTRUDIS,1
JESO,0
JESUS,1
JESUSA,1
JESUSITA,0
JETRUDES,1
JILBERTO,1
JILSERTO,0
JIOBANI,1
JIS,0
JIYERMO,1
JOAQUIN,1
JOBA,0
JOBEL,0
JOEL,1
JON,1
JORJE,1
JOS,0
JOSE,1
JOSEFA,1
JOSEFIA,0
JOSEFINA,1
JOSJE,0
JOTRGC,0
JUAM,0
JUAMA,0
JUAN,1
JUANA,1
JUANITA,0
JUANITO,0
JUBENAL,1
JUBERT,0
JULIA,1
JULIAN,1
JULIANA,1
JULIO,1
JUSTO,1
KAGUIRILIO,0
KARIA,0
KATIBIDAD,0
KATYA,1
KAURI,0
LA,0
LANDO,0
LASARO,1
LATOYA,1
LAURA,1
LAURIANA,1
LCREMSA,0
LCRENSA,0
LCRINOA,0
LEANDRO,1
LECNCR,0
LECNIDES,0
LECNOR,0
LECNSO,0
LENCHA,0
LENCHITA,0
LENSIO,0
LEOCADIO,0
LEOM,0
LEON,1
LEONARDA,1
LEONARDO,1
LEONAROO,0
LEONEL,1
LEONIDAS,1
LEONISIO,1
LEONOR,1
LEONSIA,1
LEONSIO,1
LEONSO,0
LEOOAN,0
LEOPOLDO,1
LETIS,0
LETISIA,1
LI,0
LIANDRO,0
LIBERTAD,1
LID,0
LIDIA,1
LIDIO,1
LIDUBINA,0
LILIAN,1
LINES,0
LINO,1
LINOA,0
LINORA,0
LIONISIA,1
LISANDRO,1
LISANORO,0
LISEO,1
LISETTE,1
LISORIO,0
LITA,0
LITO,0
LIU,0
LOLA,1
LOLO,0
LOREJU,0
LORENA,1
LORENSA,1
LORENSO,1
LOREXSA,0
LOS,0
LOU,0
LUC,0
LUCAS,1
LUIS,1
LUISA,1
LUPE,0
LUS,1
LUSI,0
LUSIA,1
LUSIANO,1
LUSILA,1
LUSINIA,0
LUSIO,1
LUSIOIA,0
LUSIU,0
LUSIYA,0
MA,0
MACARIO,1
MACHO,0
MACLOBIO,1
MAGDALENA,1
MAGDALENO,1
MAGOALEA,0
MAGOALENA,0
MAGOALENO,0
MAGOELENA,0
MAIRA,1
MAJIN,0
MALRISIO,0
MAMERTO,1
MANCHO,0
MANDO,0
MANFREDI,1
MANNO,0
MANSUR,0
MANUEL,1
MANUELA,1
MAR,1
MARBELIA,0
MARBIN,1
MARCO,1
MARCOS,1
MARCSAL,0
MARGARITA,1
MARGARITO,1
MARIA,1
MARIANA,1
MARIANITO,0
MARIANO,1
MARIBEL,1
MARIELA,1
MARINA,1
MARINO,1
MARIO,1
MARISOL,1
MARITSA,1
MARLENA,0
MARLENE,1
MARLENI,1
MARLO,0
MAROCQUEO,0
MAROO,0
MAROOOUEO,0
MARRTINA,0
MARSEL,1
MARSELA,1
MARSELI,0
MARSELIMA,0
MARSELINA,1
MARSELINO,1
MARSIAL,1
MARSISO,0
MARTA,1
MARTIL,0
MARTIN,1
MARTINA,1
MARTIR,1
MARUIA,0
MATEA,1
MATEO,1
MATIAS,1
MATILDE,1
MAUL,0
MAUMSIO,0
MAUOALEMO,0
MAURA,1
MAURI,0
MAURISIO,1
MAURO,0
MAUSA,0
MAUSIMINO,0
MAX,0
MAXELINO,0
MAXIMILIAKO,0
MAXIMILIANO,1
MAXIMINO,1
MAXIMO,1
MCOESTA,0
MEDARDO,1
MELESIO,0
MELGAR,1
MELIDA,1
MELIOA,0
MELITON,0
MEME,0
MENJIBAR,1
MERSEDES,1
MI,0
MICAEL,0
MICAELA,1
MICOLASA,0
MIEBE,0
MIGUEL,1
MILAGRO,1
MILTCN,0
MILTON,1
MIMA,0
MIMTA,0
MINCHO,0
MINDA,0
MINTA,0
MIQUEL,0
MIRIAM,1
MIRNA,1
MIRTALA,1
MISAEL,1
MM,0
MODESTO,1
MOISES,1
MOREA,0
MORENA,1
MORIS,0
MOWICO,0
MUS,0
MUSO,0
NAGDALENO,0
NAPOLEON,1
NARSISO,1
NASARIO,1
NATALIA,1
NATALIO,1
NATIBIDAD,1
NATIBIDAO,0
NATIBIOAD,0
NAURISIO,0
NCMBRE,0
NCRSERTO,0
NECTALI,0
NEFTALI,1
