"token","known"
"URQUILU",0
"URQUIYA",1
"URSINA",0
"URTADG",0
"UYOA",1
"XISMAN",0
"YANO",1
"ABENDANO",1
"ADAN",1
"ADEBANO",1
"ALDANA",1
"ARBACA",0
"ASUSENA",1
"BALDIBIESO",1
"BELA",1
"BERNAL",1
"BETANCURT",0
"BIDAL",1
"BIYALOBAS",0
"BIYAS",1
"BIYATORO",1
"BIYATOROS",0
"BONIYAS",0
"CANALES",1
"CANDIDO",1
"CASTEYON",1
"CASTULA",1
"CORADO",1
"CORDERA",1
"CORDON",1
"CUCHIYA",1
"DELEON",0
"DUQUE",1
"ERMINIO",1
"FILAMENTOS",1
"GALAN",1
"GALDANDES",0
"GAYARDO",1
"GOCHES",1
"GODOI",1
"GOODAY",0
"GRANADO",0
"GRANDES",0
"GUIDO",1
"IRIONDO",1
"JIRO",1
"JUANTES",0
"JUAQUIN",1
"JUTERIANO",0
"LANDEBERDE",0
"LEDESMA",1
"LODILES",0
"MACHADO",1
"MARADIAGA",0
"MARROQIN",0
"MAYA",1
"MEDARDO",1
"MEDINO",0
"MEJIYA",1
"MENCOS",1
"MENENDES",1
"MIRAS",1
"MONREI",0
"MOSOS",0
"MURIYOS",0
"NERIO",1
"NIETO",1
"NOYOLA",1
"OMERO",1
"PADIYAS",0
"PALASIO",1
"PALOMO",1
"PANAMA",1
"PASTRAN",1
"PELARA",1
"PERLA",1
"PICHE",1
"PONCA",1
"QUIJADA",1
"QUIJANO",1
"QUIROS",1
"RAIMUNDO",0
"RENDON",1
"RIBA",1
"SERRO",0
"TURSIOS",1
"URTADO",1
"WENBEGS",0
